City,Country,Cloudiness,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Jizan,SA,75,1576103436,83,16.89,42.56,82.4,4.7
Thompson,CA,20,1576103413,68,55.74,-97.86,-18.4,8.05
Hermanus,ZA,9,1576103223,85,-34.42,19.24,69.01,10.0
Barrow,AR,65,1576103441,74,-38.31,-60.23,63.84,10.31
Butaritari,KI,0,1576103310,73,3.07,172.79,84.81,14.61
Bambous Virieux,MU,40,1576103270,88,-20.34,57.76,80.01,6.93
Margate,AU,75,1576103446,47,-43.03,147.26,59.0,16.11
Albany,US,40,1576103185,73,42.65,-73.75,32.0,5.82
Mahebourg,MU,40,1576103309,88,-20.41,57.7,80.01,6.93
Guangzhou,CN,0,1576103450,66,23.13,113.26,59.0,2.24
Mataura,NZ,100,1576103162,73,-46.19,168.86,61.54,3.4
Nishihara,JP,1,1576103454,93,35.74,139.53,52.0,4.41
Makurdi,NG,39,1576103455,22,7.73,8.54,78.26,1.05
Fez,MA,22,1576103457,93,34.03,-5.02,46.4,9.17
Katete,UG,42,1576103459,96,-0.78,29.75,56.03,2.8
Okha,RU,100,1576103460,94,53.59,142.95,10.35,10.83
Severo-Kurilsk,RU,86,1576103350,87,50.68,156.12,23.11,9.04
Bredasdorp,ZA,82,1576103170,72,-34.53,20.04,68.0,11.41
Carballo,ES,40,1576103467,87,43.21,-8.69,55.0,9.17
Punta Arenas,CL,82,1576103322,50,-53.16,-70.91,53.6,25.28
Adrar,DZ,0,1576103470,29,27.87,-0.29,51.8,8.05
Carnarvon,ZA,1,1576103472,48,-30.97,22.13,64.26,11.41
Bluff,AU,12,1576103233,75,-23.58,149.07,74.55,12.62
Ushuaia,AR,75,1576103102,53,-54.81,-68.31,50.0,18.34
Nikolskoye,RU,20,1576103187,79,59.7,30.79,28.4,8.95
Ribeira Grande,PT,75,1576103478,62,38.52,-28.7,57.2,9.17
Rikitea,PF,97,1576103221,81,-23.12,-134.97,73.45,26.15
Miri,NG,15,1576103481,15,10.31,9.75,65.59,5.21
Port Alfred,ZA,10,1576103483,97,-33.59,26.89,61.0,5.01
Buala,SB,86,1576103485,66,-8.15,159.59,85.66,3.02
Longyearbyen,NO,79,1576103487,60,78.22,15.63,8.6,33.33
Lebu,ET,14,1576103358,95,8.96,38.73,52.41,2.13
Sept-Iles,CA,20,1576103491,50,50.2,-66.38,6.01,3.36
Saint George,GR,75,1576103494,93,39.45,22.34,48.2,4.7
Norman Wells,CA,20,1576103191,75,65.28,-126.83,-14.8,4.7
Chokurdakh,RU,100,1576103497,96,70.62,147.9,-21.82,3.91
Nanortalik,GL,100,1576103267,60,60.14,-45.24,33.33,27.65
Tasiilaq,GL,100,1576103239,85,65.61,-37.64,24.8,28.86
